msg_id,sender_jid,receiver_jid,chat_type,msg,ip,port,sent_at
a8a013fb-8886-4979-b965-1599a84003f6,paulathemall_hs2,jaythestingray_7dv,chat,Hey,50.40.143.87,37102,2025-02-05T11:14:30Z
492c240d-3055-45cd-b72c-fd0cf484c6e6,jaythestingray_7dv,paulathemall_hs2,chat,Hi there,161.99.177.47,48544,2025-02-05T11:16:21Z
d23b206b-cde2-4ad9-a26e-0e903cb18586,jaythestingray_7dv,paulathemall_hs2,chat,Can you do $30 for my boutique sandwiches,161.99.177.47,48544,2025-02-05T11:17:09Z
1944b09f-0877-408a-9663-a29b4af9e895,jaythestingray_7dv,paulathemall_hs2,chat,Can you do $30 for my boutique sandwiches,161.99.177.47,35142,2025-02-05T11:17:13Z
df1aee87-7c5b-441a-8e56-567cc2aea085,jaythestingray_7dv,paulathemall_hs2,chat,Extra tomato link,161.99.177.47,35142,2025-02-05T11:17:51Z
a259aed1-e07f-40c3-8640-65a47bde63fb,paulathemall_hs2,jaythestingray_7dv,chat,With a small nibble first- sure,50.40.143.87,55458,2025-02-05T11:17:58Z
33ac343e-2e67-49ec-927a-03f5d66379f3,jaythestingray_7dv,paulathemall_hs2,chat,Pay first,161.99.177.47,35142,2025-02-05T11:18:39Z
ceaf9f30-f83a-4c05-a1b5-5dc963b87b43,paulathemall_hs2,jaythestingray_7dv,chat,I'm not paying without knowing how much turkey I'm getting. If it was a burrito at least you'd be able to hide the contents,50.40.143.87,46252,2025-02-05T11:19:31Z
f8a5e31c-a6aa-41c5-8936-b1d9454ae7b0,jaythestingray_7dv,paulathemall_hs2,chat,Lol,161.99.177.47,35142,2025-02-05T11:19:40Z
71deeaba-2059-466b-a8e1-863804207224,paulathemall_hs2,jaythestingray_7dv,chat,You give me one nibble and you're good,50.40.143.87,49558,2025-02-05T11:20:36Z
995b88ce-b3ae-408c-a635-7fec1d65d81c,jaythestingray_7dv,paulathemall_hs2,chat,Ok,252.68.181.241,46242,2025-02-05T13:39:54Z
f5943805-5ec9-4f8f-a030-70e0c11d1652,paulathemall_hs2,jaythestingray_7dv,chat,I'm waiting for that bite!!!!,50.40.143.87,57304,2025-02-05T13:41:10Z
